,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes
0,Canada,"Churchill Rocket Research Range, Manitoba",58°44′03″N 93°49′13″W﻿ / ﻿58.73430°N 93.82030°W,1954–1998,3500+,,,Canadian Army.[53]
1,Canada,"Resolute Bay, Nunavut",74°41′13″N 94°53′46″W﻿ / ﻿74.6870°N 94.8962°W,1966–1971,17,,,National Research Council Canada.[54]
2,Canada,"Hall Beach, Nunavut",68°46′34″N 81°14′36″W﻿ / ﻿68.77607°N 81.24346°W,1971–1971,7,,270 km,
3,Canada,"Southend, Saskatchewan",56°12′N 103°08′W﻿ / ﻿56.20°N 103.14°W,1980,2,1 200 kg,,
4,Canada,"Maritime Spaceport, Canso, Nova Scotia",45°18′25″N 60°59′16″W﻿ / ﻿45.30688°N 60.98767°W,2019–,0,,,Launch site for Cyclone-4M[55][56]
5,Greenland ( Denmark),Thule Air Base,76°25′26″N 68°17′37″W﻿ / ﻿76.4240°N 68.2936°W,1964–1980,,,,Former US Air Force launch site[57]
6,United States,"Clark University Physics Laboratory, Worcester, Massachusetts",42°15′04″N 71°49′23″W﻿ / ﻿42.250977°N 71.823169°W,1914–1920s,≈10,,,"Robert H. Goddard's first experimental rockets, starting with powder-based fuels. Was also site of liquid rocket engine tests before being launched in nearby Auburn.[58]: 74"
7,United States,"Goddard Test Site, Auburn, Massachusetts",42°13′08″N 71°48′43″W﻿ / ﻿42.21882°N 71.81194°W,1925–1930,5,,,Open field chosen as rocket test site in 1925; launch site of Robert H. Goddard's first liquid fuel rockets beginning on 16 March 1926.[58]: 143
8,United States,"Eden Valley Test Site, Roswell, New Mexico",33°37′34″N 104°30′00″W﻿ / ﻿33.62600°N 104.50000°W,1930–1941,>30,,,Used for Goddard's later rocket tests.
9,United States,"Wallops Flight Facility, Delmarva Peninsula, Virginia",37°50′46″N 75°28′46″W﻿ / ﻿37.84621°N 75.47938°W,1945–,1600+,,,"Now operated by NASA's Goddard Space Flight Center.[59] In 2019, Rocket Lab built their first US launch facility here.[60]"
10,United States,"White Sands Missile Range, New Mexico",32°33′53″N 106°21′33″W﻿ / ﻿32.56460°N 106.35908°W,1945–,7500+,,,Military and civilian flights. Served as alternate landing site for the Space Shuttle.[61]
11,United States,Nevada Test and Training Range (formerly Nellis Air Force Range),36°46′17″N 116°06′49″W﻿ / ﻿36.77150°N 116.11374°W,1946–1960s,2000+,,,[62]
12,United States,"Poker Flat Research Range, Alaska",65°07′34″N 147°28′44″W﻿ / ﻿65.12599°N 147.47894°W,1949–,5000+,,,Sounding rocket launch site
13,United States,"Cape Canaveral Space Force Station, Florida",28°28′00″N 80°33′31″W﻿ / ﻿28.46675°N 80.55852°W,1949–,1000+,,Interstellar,Commercial and U.S. Government uncrewed missions. Adjacent to NASA KSC.
14,United States,"Vandenberg Space Force Base, California",34°46′19″N 120°36′04″W﻿ / ﻿34.77204°N 120.60124°W,1958–,500+,,Interplanetary,"Satellites, ballistic missile tests. Government and commercial launches.[63] Also launches SpaceX rockets."
15,United States,"Kennedy Space Center, Florida",28°36′30″N 80°36′14″W﻿ / ﻿28.6082°N 80.6040°W,1962–,151,3 000 000 kg,Interplanetary,Launched each NASA crewed mission. Adjacent to Cape Canaveral Space Force Station.
16,United States,"Pacific Missile Range Facility, Hawaii",22°01′22″N 159°47′06″W﻿ / ﻿22.02278°N 159.785°W,1963–,,,,Used for testing of antiballistic missile and missile tracking by the US Navy.
17,United States,"Keweenaw, Michigan",47°25′47″N 87°42′52″W﻿ / ﻿47.42980°N 87.71443°W,1964–1971[citation needed],50+,770 kg,<160 km,Sounding rocket launch site. Currently inactive.
18,United States,"Pacific Spaceport Complex, Kodiak, Alaska",57°26′07″N 152°20′22″W﻿ / ﻿57.43533°N 152.33931°W,1991–,26,86 000 kg,Orbital,"Ballistic missile interceptor tests, satellite launches. Alaska Aerospace Corporation.[64]"
19,United States,"Mid-Atlantic Regional Spaceport (MARS), Delmarva Peninsula, Virginia",37°50′00″N 75°29′00″W﻿ / ﻿37.833378°N 75.483284°W,1995–,22,89 805 kg,Lunar,"Operates in partnership with NASA, adjacent to Wallops Flight Facility. Designed for both commercial and government launches.[65]"
20,United States,"Mojave Air and Space Port, California",35°03′33″N 118°08′56″W﻿ / ﻿35.05910°N 118.14880°W,2003–,20+,,112 km,"Adjacent to Edwards AFB. Privately funded, horizontal-launch spaceport. Xoie, Xombie, Xodiac (Masten Space Systems); SpaceShipOne, SpaceShipTwo (Scaled Composites, Virgin Galactic); Launcher One (Virgin Orbit)."
