,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes
0,Bulgaria,Ahtopol,42°05′09″N 27°57′18″E﻿ / ﻿42.085846°N 27.955125°E,1984–1990,28,475 kg,90 km,
1,France,Ile du Levant,43°02′42″N 6°28′44″E﻿ / ﻿43.04507°N 6.47887°E,1948–1970s,,,,Missile test site
2,Germany,"Rocket Launch Site Berlin, Berlin-Tegel",52°21′00″N 13°12′36″E﻿ / ﻿52.35000°N 13.21000°E,1930–1933,,,4 km,
3,Germany,Peenemünde/Greifswalder Oie,54°08′35″N 13°47′38″E﻿ / ﻿54.14300°N 13.79400°E,1942–1945,>3000,12 500 kg,175 km,"V-2 rockets during World War II, first rocket to reach space 20 June 1944"
4,West Germany,Cuxhaven,53°50′56″N 8°35′30″E﻿ / ﻿53.84884°N 8.59154°E),1945–1964,,,>110 km,
5,West Germany,"Hespenbusch, Großenkneten",52°56′20″N 8°18′45″E﻿ / ﻿52.939002°N 8.312515°E,1952–1957,,,<10 km,
6,Germany,Zingst,54°26′24″N 12°47′04″E﻿ / ﻿54.44008°N 12.78431°E,1970–1992,67,130 kg,80 km,
7,Greece,Koroni,36°46′11″N 21°55′54″E﻿ / ﻿36.7698°N 21.9316°E,1966–1989,371,,114 km,
8,Iceland,Vik,63°25′08″N 19°00′17″W﻿ / ﻿63.41891°N 19.00463°W,1964–1965,2,,,
9,Italy,Salto di Quirra,39°31′38″N 9°37′59″E﻿ / ﻿39.52731°N 9.63303°E,1964–[citation needed],,,,
10,Norway,Andøya Space Center,69°17′39″N 16°01′15″E﻿ / ﻿69.29430°N 16.02070°E,1962–,>1200,800 kg,,Rockets to the upper atmosphere.[39]
11,Norway,Marka,58°12′00″N 7°18′00″E﻿ / ﻿58.20000°N 7.30000°E,1983–1984,,16 kg,,
12,Norway,SvalRak,78°13′24″N 15°38′49″E﻿ / ﻿78.2234°N 15.6470°E,1997–[citation needed],,,,
13,Nazi-occupied Poland,SS-Proving Ground Westpreußen today Poland (Tuchola Forest),53°37′11″N 17°59′06″E﻿ / ﻿53.61970°N 17.98492°E,1944–1945,,,,Nazi-German V-2 rockets
14,Germany,Leba in Pommern since 1945 part of Poland,54°46′09″N 17°35′37″E﻿ / ﻿54.76904°N 17.59355°E,1941–1945,,,,Nazi-German rockets
15,Poland,Łeba-Rąbka[citation needed],54°45′16″N 17°31′05″E﻿ / ﻿54.754486°N 17.517919°E,1963–1973,36,,,Polish rockets
16,Nazi-occupied Poland,"V-2 missile launch site, Blizna",50°10′55″N 21°36′58″E﻿ / ﻿50.18190°N 21.61620°E,1943–1944[citation needed],139,,,Nazi-German V-2 rockets
17,Soviet Union/ Russia,"Kapustin Yar Cosmodrome, Astrakhan Oblast",48°34′41″N 46°15′15″E﻿ / ﻿48.57807°N 46.25420°E,1957–[citation needed],,,Orbital,Previously for satellite launches[40]
18,Soviet Union/ Russia,Nyonoksa,64°38′57″N 39°11′14″E﻿ / ﻿64.64928°N 39.18721°E,1965–1997[citation needed],,,,
19,Soviet Union/ Russia,Plesetsk Cosmodrome,62°55′32″N 40°34′40″E﻿ / ﻿62.92556°N 40.57778°E,1966–,>1000,760 000 kg,Orbital,
20,Spain,El Arenosillo,37°05′49″N 6°44′19″W﻿ / ﻿37.09687°N 6.73863°W,1966–[citation needed],>500,,720 km[41],"Formerly used only by INTA, now used by Zero 2 Infinity and PLD Space"
21,Sweden,Nausta,66°21′26″N 19°16′33″E﻿ / ﻿66.357202°N 19.275813°E,1961–1961[citation needed],1,30 kg,<80 km,Arcas rocket for atmospheric research.[42]
22,Sweden,Kronogård,66°24′53″N 19°16′36″E﻿ / ﻿66.4147°N 19.2767°E,1961–1964,18,700 kg,135 km,"Arcas, Nike-Cajun and Nike-Apache rockets for atmospheric research."
23,Sweden,"Esrange, Kiruna",67°53′36″N 21°06′15″E﻿ / ﻿67.89342°N 21.10429°E,1966–,450,12 400 kg,717 km,"Operated by ESRO.[43] Operated by SSC since 1972.[43] Major programmes: Maxus, TEXUS, Maser, stratospheric balloons."
24,United Kingdom,South Uist,57°19′48″N 7°19′48″W﻿ / ﻿57.33000°N 7.33000°W,"1959, 2015",2,approx 1300 kg +payload,,First test launch in 1959. First space launch from the UK took place here in October 2015 as part of 'At Sea Demonstration 15' of an American 'Terrier-Orion' sounding rocket.[44]
