,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes
0,Australia,"Woomera Test Range, SA",30°57′31″S 136°30′13″E﻿ / ﻿30.95875°S 136.50366°E,1950s–,,28 000 kg,Orbital,"Australian government research facility. Missile testing, 2 satellite launches."
1,Australia,"Carnarvon, WA",24°29′08″S 113°24′31″E﻿ / ﻿24.48564°S 113.40866°E,1964–1965,12,,120 km,
2,Australia,"Lancelin, WA",30°58′59″S 115°19′04″E﻿ / ﻿30.98309°S 115.31774°E,1974–1974,2,,,During a total solar eclipse
3,Australia,"Koonibba Test Range, SA",31°53′08″S 133°26′55″E﻿ / ﻿31.885558°S 133.448686°E,2019–,2,,85 km,Used by Southern Launch for suborbital launch tests
4,Australia,"Whalers Way Orbital Launch Complex, SA",34°56′02″S 135°39′08″E﻿ / ﻿34.934°S 135.6523°E,2020–,,,,Used by Southern Launch for orbital polar launches
5,Australia,"Arnhem Space Centre, NT",12°22′41″S 136°49′17″E﻿ / ﻿12.378021°S 136.821402°E,2021–,2,,327 km,First NASA launches outside USA. Australia's first commercial launches
6,Marshall Islands,"Reagan Test Site, Omelek Island, Kwajalein Atoll",9°02′53″N 167°44′35″E﻿ / ﻿9.048167°N 167.743083°E,1950s–,,39 000 kg,Orbital,US-controlled ICBM base converted for satellites. SpaceX Falcon 1. Close to the equator.
7,New Zealand,Birdling's Flat,43°49′01″S 172°40′59″E﻿ / ﻿43.81700°S 172.68300°E,1980s–,10<,,,"Used for sounding rockets. Formerly proposed launch site for Rocket Lab, never developed."
8,New Zealand,Great Mercury Island,36°21′18″S 175°27′36″E﻿ / ﻿36.35511°S 175.46006°E,2009,1,60 kg,120 km,Used for the first launch by Rocket Lab of their Atea 1 suborbital rocket.
9,New Zealand,Mahia Peninsula,39°15′38″S 177°51′52″E﻿ / ﻿39.26044°S 177.86431°E,2017–,26,10 500 kg,Lunar,Launch site built and operated by Rocket Lab. First commercial spaceport in the southern hemisphere.
